Publication_Year,is_coi_pred,is_register_pred,is_fund_pred,is_open_code,is_open_data
2019,91.2,1.4,93.5,17.6,27.3
2021 Covid-19,89.2,0.0,77.6,25.3,24.3
2021 Non Covid-19,88.8,1.0,89.5,14.1,24.3
