Model,is_coi_pred,is_register_pred,is_fund_pred,is_open_code,is_open_data
Agent-based,93.0,0.5,86.6,33.9,31.2
Compartmental,82.0,0.0,79.3,20.4,20.2
Multiple,92.0,0.0,80.0,16.0,24.0
Spatiotemporal,94.3,1.1,88.5,18.6,30.1
Time Series,94.7,0.6,81.9,19.3,24.0
